Tarih,Sembol,Fiyat,Gunluk %,Hacim 1g,Rejim G,Rejim H,Rejim A,Cakisma,ATR %
2026-07-24,EBEBK,86.65,1.941176470588242,344623,0.72,1.02,0.76,0,3.113366325190352
2026-07-24,ISFIN,19.22,-0.9788768675940304,1121466,1.04,0.83,0.61,0,1.9697191522265844
2026-07-24,KLSER,25.68,-1.0785824345146422,567909,0.58,0.77,0.66,0,2.559238632674361
2026-07-24,CRDFA,44.34,-0.1351351351351242,768060,0.45,0.82,0.83,0,4.600313825204734
2026-07-24,SNGYO,3.38,-0.8797653958944354,14672151,0.91,0.91,0.58,0,3.901223652540138
2026-07-24,BMSTL,44.2,0.4089050431621983,545879,0.23,0.63,0.8,0,3.9114039645366896
2026-07-24,CANTE,1.29,-1.5267175572519098,169398001,0.73,0.77,0.6,0,2.991345460688322
2026-07-24,DGGYO,38.84,-0.918367346938774,87997,0.49,0.62,1.5,0,7.244004681799438
2026-07-24,MCARD,139.8,-0.1428571428571347,1293142,0.46,1.23,0.31,0,6.686083787892142
2026-07-24,ZOREN,2.53,-1.5564202334630364,21073544,0.35,0.81,1.15,0,3.3068056530668763
2026-07-24,ODAS,9.09,-0.547045951859964,58973686,0.88,0.64,1.13,0,3.874013405682108
2026-07-24,LOGO,133.2,-0.9665427509293764,250052,0.56,0.69,0.81,0,2.755313449296928
2026-07-24,AYCES,501.5,0.8040201005025126,72578,0.63,0.69,0.65,0,5.586204411239055
2026-07-24,LMKDC,23.62,-1.2541806020066917,2924643,0.42,1.26,0.83,0,4.042779087124184
2026-07-24,ATATR,15.47,0.7161458333333413,14097115,0.43,0.83,0.53,0,5.781342301325408
2026-07-24,KLKIM,26.56,-0.5988023952095813,689198,0.33,1.04,0.77,0,2.931035859994417
2026-07-24,KAYSE,4.07,-0.4889975550122145,3798131,0.46,1.02,0.51,0,2.319954363020777
2026-07-24,TRCAS,46.42,-0.9812286689419812,792096,0.87,1.11,0.58,0,3.4528108070775625
2026-07-24,MEYSU,13.94,2.650957290132544,29259709,1.57,1.17,0.4,2,5.2405224486612845
2026-07-24,SURGY,68.8,-1.7142857142857182,1464567,0.64,1.04,0.41,0,4.058936737064654
2026-07-24,HRKET,96.9,-2.759658805820372,565279,0.2,0.8,1.19,0,6.612692398666216
2026-07-24,VAKKO,70.0,-2.3709902370990275,66733,0.46,0.76,0.31,0,3.464291660479672
2026-07-24,YYLGD,10.46,-0.9469696969696936,1946337,0.59,0.69,0.6,0,2.7705515737564315
2026-07-24,KSTUR,2697.5,0.0,235,0.3,0.82,0.89,0,2.327006249086928
2026-07-24,AKGRT,7.06,-0.2824858757062212,2877808,0.41,0.95,0.69,0,1.897294620554092
2026-07-24,KOTON,13.71,-0.1456664238892904,1312774,0.24,0.54,1.52,0,3.410725286451119
2026-07-24,AKHAN,41.06,-0.5329457364341057,2056939,0.28,1.22,0.66,1,5.6021183666326415
2026-07-24,OYYAT,37.66,0.1595744680850935,183572,0.79,0.55,0.99,0,3.976095333807065
2026-07-24,ISVEA,44.28,9.98509687034278,9535139,0.42,,,0,
2026-07-24,KOCMT,4.86,2.3157894736842173,38132118,0.32,0.79,2.23,1,7.101505084770478
2026-07-24,GARFA,27.96,-0.6396588486140714,423259,0.18,1.81,0.89,0,4.163275615042142
2026-07-24,IZFAS,64.15,2.149681528662434,1900967,0.58,0.75,0.73,0,3.9901495974953183
2026-07-24,BARMA,38.16,-9.95752713544126,180814,0.09,0.77,1.01,0,10.632263406283494
2026-07-24,HTTBT,37.26,0.5939524838012928,188743,0.38,0.97,0.69,0,2.821326360877242
2026-07-24,JANTS,15.52,-0.7037747920665464,927394,0.15,0.71,1.32,0,3.815099472001416
2026-07-24,AKFGY,2.79,0.3597122302158357,6298738,0.62,0.64,0.73,0,2.492765916639183
2026-07-24,GEDIK,6.63,-0.4504504504504542,3578572,0.24,0.55,1.39,0,5.843089936869269
2026-07-24,VAKFA,11.52,-0.6896551724137937,3534444,0.46,0.9,0.57,0,2.664575543217224
